taggable_id,taggable_type,tag_id,tag_order
1322,invoice,105,1
2113,invoice,105,1
2096,invoice,105,1
1822,invoice,105,1
1754,invoice,105,1
1452,invoice,105,1
1324,invoice,105,1
1320,invoice,105,1
1323,invoice,105,1
1378,invoice,105,1
1313,invoice,105,1
1294,invoice,105,1
1184,invoice,105,1
467,invoice,105,1
1607,invoice,105,1
1411,invoice,105,1
1032,invoice,105,1
1262,invoice,105,1
856,invoice,105,1
839,invoice,105,1
818,invoice,105,1
1896,invoice,105,1
1894,invoice,105,1
2226,invoice,105,1
1895,invoice,105,1
1594,invoice,105,1
685,invoice,105,1
618,invoice,105,1
542,invoice,105,1
2251,invoice,105,1
2253,invoice,105,1
2254,invoice,105,1
2255,invoice,105,1
2256,invoice,105,1
2262,invoice,105,1
2268,invoice,105,1
2270,invoice,105,1
2272,invoice,105,1
654,lead,101,1
655,lead,101,1
2276,invoice,105,1
1237,project,105,1
2278,invoice,105,1
2279,invoice,105,1
1238,project,105,1
2283,invoice,105,1
1239,project,105,1
2284,invoice,105,1
2285,invoice,105,1
2286,invoice,105,1
1242,project,105,1
2287,invoice,105,1
2250,invoice,107,1
1243,project,107,1
1244,project,105,1
1245,project,105,1
2277,invoice,105,1
2261,invoice,105,1
944,invoice,105,1
1248,project,105,1
1249,project,105,1
2293,invoice,105,1
2292,invoice,105,1
2183,invoice,105,1
2300,invoice,105,1
1251,project,105,1
2301,invoice,105,1
1252,project,105,1
2302,invoice,105,1
1134,project,105,1
1133,project,105,1
1132,project,105,1
2303,invoice,105,1
2306,invoice,105,1
2297,invoice,105,1
2289,invoice,105,1
2289,invoice,106,2
2288,invoice,105,1
2288,invoice,106,2
2259,invoice,105,1
2293,invoice,106,2
2302,invoice,106,2
2165,invoice,105,1
2165,invoice,106,2
2308,invoice,105,1
2310,invoice,105,1
2311,invoice,105,1
2312,invoice,105,1
1564,invoice,105,1
2317,invoice,105,1
2318,invoice,105,1
2319,invoice,105,1
2328,invoice,105,1
2331,invoice,105,1
1265,project,106,1
2341,invoice,105,1
2342,invoice,105,1
2343,invoice,105,1
2344,invoice,105,1
2345,invoice,105,1
2089,invoice,105,1
2348,invoice,105,1
2349,invoice,105,1
2354,invoice,105,1
1464,invoice,105,1
2357,invoice,105,1
2358,invoice,105,1
2359,invoice,105,1
2375,invoice,105,1
677,lead,101,1
678,lead,101,1
2386,invoice,105,1
2387,invoice,105,1
2390,invoice,105,1
1274,project,105,1
679,lead,101,1
2393,invoice,105,1
2396,invoice,105,1
2397,invoice,105,1
1279,project,105,1
2399,invoice,105,1
1281,project,19,1
1281,project,20,2
1281,project,3,3
681,lead,101,1
683,lead,101,1
684,lead,101,1
685,lead,101,1
686,lead,101,1
687,lead,101,1
2414,invoice,105,1
2418,invoice,105,1
2419,invoice,105,1
2420,invoice,105,1
2421,invoice,105,1
2422,invoice,105,1
691,lead,60,1
1299,project,105,1
2427,invoice,105,1
2428,invoice,105,1
2429,invoice,105,1
2430,invoice,105,1
2431,invoice,105,1
2432,invoice,105,1
2433,invoice,105,1
2434,invoice,105,1
2435,invoice,105,1
1300,project,105,1
2437,invoice,105,1
1301,project,105,1
2438,invoice,105,1
2439,invoice,105,1
2441,invoice,105,1
2442,invoice,105,1
2444,invoice,105,1
2445,invoice,105,1
1305,project,105,1
2446,invoice,105,1
2447,invoice,105,1
2474,invoice,107,1
2478,invoice,105,1
2479,invoice,105,1
2480,invoice,105,1
2481,invoice,105,1
2502,invoice,105,1
2503,invoice,105,1
2513,invoice,105,1
2514,invoice,105,1
1187,proposal,8,1
696,lead,101,1
2523,invoice,105,1
2529,invoice,105,1
2531,invoice,105,1
2533,invoice,105,1
2549,invoice,105,1
2550,invoice,105,1
2551,invoice,105,1
2552,invoice,105,1
2552,invoice,106,2
2555,invoice,105,1
2557,invoice,105,1
2558,invoice,105,1
2559,invoice,105,1
2562,invoice,105,1
2565,invoice,105,1
2574,invoice,105,1
2575,invoice,105,1
1351,project,52,1
2581,invoice,105,1
2582,invoice,105,1
2587,invoice,105,1
2590,invoice,105,1
2591,invoice,105,1
2596,invoice,105,1
2596,invoice,106,2
2597,invoice,105,1
2600,invoice,105,1
2601,invoice,105,1
1208,proposal,8,1
1361,project,105,1
2602,invoice,105,1
2603,invoice,105,1
1211,proposal,8,1
2609,invoice,105,1
2610,invoice,105,1
1364,project,105,1
2611,invoice,105,1
2612,invoice,105,1
2614,invoice,105,1
2615,invoice,105,1
2616,invoice,105,1
2617,invoice,105,1
2618,invoice,105,1
2633,invoice,105,1
2634,invoice,105,1
2643,invoice,105,1
2645,invoice,105,1
2646,invoice,105,1
2647,invoice,105,1
2648,invoice,105,1
2649,invoice,105,1
2650,invoice,105,1
2652,invoice,105,1
2653,invoice,105,1
2655,invoice,105,1
2664,invoice,107,1
1235,proposal,8,1
1229,proposal,18,1
2676,invoice,105,1
2677,invoice,105,1
2678,invoice,105,1
2681,invoice,105,1
2684,invoice,105,1
2698,invoice,105,1
2700,invoice,105,1
715,lead,4,1
716,lead,7,1
2715,invoice,105,1
2716,invoice,105,1
2720,invoice,18,1
2724,invoice,105,1
2725,invoice,105,1
2725,invoice,106,2
2726,invoice,105,1
2726,invoice,106,2
2190,invoice,106,1
2129,invoice,105,1
2492,invoice,106,1
2548,invoice,105,1
2734,invoice,105,1
2735,invoice,105,1
2736,invoice,105,1
2737,invoice,105,1
2742,invoice,105,1
1423,project,105,1
2743,invoice,105,1
2744,invoice,105,1
2748,invoice,105,1
2749,invoice,105,1
2750,invoice,105,1
2751,invoice,105,1
1425,project,18,1
2758,invoice,105,1
1431,project,105,1
2759,invoice,105,1
2805,invoice,105,1
2809,invoice,105,1
2813,invoice,105,1
2817,invoice,105,1
2827,invoice,105,1
2828,invoice,105,1
2833,invoice,105,1
2834,invoice,105,1
1456,project,105,1
2835,invoice,105,1
726,lead,109,1
2840,invoice,105,1
2841,invoice,105,1
2842,invoice,105,1
2844,invoice,105,1
2845,invoice,105,1
2846,invoice,105,1
1460,project,105,1
2871,invoice,105,1
2872,invoice,105,1
2873,invoice,105,1
2874,invoice,105,1
2875,invoice,105,1
2878,invoice,105,1
1463,project,105,1
2879,invoice,105,1
2880,invoice,105,1
2881,invoice,105,1
2882,invoice,105,1
2883,invoice,105,1
2884,invoice,105,1
2886,invoice,105,1
2887,invoice,105,1
2888,invoice,105,1
2889,invoice,105,1
2890,invoice,105,1
2899,invoice,107,1
2912,invoice,105,1
2916,invoice,105,1
2917,invoice,105,1
2918,invoice,105,1
2919,invoice,105,1
2921,invoice,105,1
2926,invoice,105,1
1485,project,105,1
2938,invoice,105,1
2942,invoice,105,1
2955,invoice,105,1
2956,invoice,105,1
2957,invoice,105,1
2958,invoice,105,1
1490,project,105,1
2959,invoice,105,1
2961,invoice,105,1
2967,invoice,105,1
2979,invoice,105,1
2980,invoice,105,1
2984,invoice,105,1
2993,invoice,105,1
2994,invoice,105,1
2995,invoice,105,1
2999,invoice,106,1
3000,invoice,106,1
3001,invoice,106,1
3002,invoice,106,1
3003,invoice,106,1
3008,invoice,106,1
3009,invoice,105,1
3012,invoice,106,1
3013,invoice,106,1
3014,invoice,106,1
3015,invoice,106,1
3016,invoice,106,1
3017,invoice,106,1
3018,invoice,106,1
3019,invoice,105,1
3020,invoice,105,1
1530,project,100,1
3030,invoice,105,1
3051,invoice,105,1
3052,invoice,105,1
3055,invoice,106,1
3056,invoice,105,1
3058,invoice,105,1
3059,invoice,105,1
3060,invoice,105,1
3061,invoice,105,1
3062,invoice,105,1
3063,invoice,105,1
3064,invoice,105,1
3065,invoice,105,1
3066,invoice,105,1
3071,invoice,105,1
3072,invoice,105,1
3076,invoice,107,1
3079,invoice,105,1
3085,invoice,106,1
3089,invoice,106,1
3092,invoice,105,1
3093,invoice,105,1
1551,project,105,1
3094,invoice,105,1
1552,project,105,1
3107,invoice,105,1
3108,invoice,105,1
3110,invoice,105,1
3111,invoice,105,1
3120,invoice,18,1
1334,proposal,18,1
3127,invoice,105,1
3129,invoice,105,1
3130,invoice,105,1
3134,invoice,105,1
3145,invoice,105,1
3151,invoice,105,1
3156,invoice,105,1
3157,invoice,105,1
3162,invoice,106,1
3163,invoice,106,1
3164,invoice,106,1
3174,invoice,105,1
3175,invoice,106,1
3178,invoice,105,1
764,lead,4,1
3179,invoice,106,1
3183,invoice,105,1
3189,invoice,105,1
3191,invoice,106,1
3192,invoice,105,1
3193,invoice,105,1
3194,invoice,105,1
3197,invoice,105,1
3197,invoice,106,2
3198,invoice,105,1
3198,invoice,106,2
3201,invoice,105,1
3202,invoice,105,1
3203,invoice,105,1
3204,invoice,105,1
3205,invoice,105,1
3214,invoice,105,1
3215,invoice,105,1
3216,invoice,105,1
3221,invoice,105,1
3222,invoice,105,1
3224,invoice,105,1
773,lead,30,1
3225,invoice,106,1
3226,invoice,105,1
3227,invoice,105,1
3230,invoice,105,1
3231,invoice,105,1
3233,invoice,105,1
3234,invoice,105,1
3235,invoice,105,1
3236,invoice,105,1
3237,invoice,105,1
3239,invoice,105,1
3251,invoice,107,1
3261,invoice,106,1
3263,invoice,106,1
3264,invoice,106,1
3268,invoice,105,1
1613,project,105,1
1614,project,105,1
3270,invoice,106,1
3271,invoice,106,1
3272,invoice,106,1
3273,invoice,106,1
3274,invoice,106,1
3276,invoice,106,1
3279,invoice,105,1
3280,invoice,105,1
3282,invoice,105,1
3283,invoice,105,1
3284,invoice,106,1
3285,invoice,106,1
3286,invoice,106,1
3287,invoice,106,1
3288,invoice,106,1
3293,invoice,105,1
3294,invoice,105,1
3296,invoice,18,1
3301,invoice,106,1
3305,invoice,105,1
3306,invoice,105,1
3307,invoice,106,1
3308,invoice,106,1
3309,invoice,106,1
3310,invoice,106,1
3312,invoice,106,1
3313,invoice,106,1
3314,invoice,105,1
1669,project,105,1
3315,invoice,105,1
1670,project,105,1
3316,invoice,105,1
3320,invoice,106,1
3321,invoice,106,1
3322,invoice,106,1
3323,invoice,106,1
3324,invoice,106,1
3326,invoice,106,1
3334,invoice,105,1
3335,invoice,105,1
